iteration,max_abs_delta_t,Decapitation,Low_R_FR,Nitrogen,Photoperiod,Sucrose,miR156,MAX2,ABA2,D27,MAX1,LBO,Auxin,CCD7,CCD8,Strigolactone,D14,SMXL678,BES1,GA,GA2OX,DELLA,SPL9,BRC1,IPT,CKX9,Cytokinin,PIN1,PIN3,FHY3,T6P,FT,HB21,NCED3,ABA,TIE1,ARR1,CAMEL,Shoot_Branching
0,nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.7,1,1,1,1,1,1,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.633333333,1,1,1,1,1,1,0.09,1,1,1,1,1,1,1,1,1,2.633333333,2.633333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5.156666667,1,1,1,1,1,1,0.027,1,1,1,1,1,1,1,1,1,7.79,7.79,1,1,1,0.565822785,0.400945361,1,1,1,1.149570077,1,1,1,1,1,1,1,1,1,1,1
4,1.547,1,1,1,1,1,1,0.0081,1,1,1,1,1,1,1,1,1,9.337,9.337,1,1,1,0.259605629,0.129824375,1,1,1,1.400242935,2.045873796,1,1,1,0.743241725,1,1,1,1,1,2.095229337
5,5.188495552,1,1,1,1,1,1,0.00243,1,1,1,1,1,1,1,1,1,9.8011,9.8011,1,1,1,0.152852236,0.044069491,1,1,1,1.514380723,6.005661775,1,1,1,0.475190566,0.903480278,1,1,1,1,7.283724889
6,5.787114315,1,1,1,1,1,1,0.000729,1,1,1,1,1,1,1,1,1,9.94033,9.94033,1,1,1,0.117276226,0.017117027,1,1,1,1.559290621,8.801698533,1,1,1,0.289506312,0.753582555,0.965361057,1,1,1,13.0708392
7,2.669848499,1,1,1,1,1,1,0.0002187,1,1,1,1,1,1,1,1,1,9.982099,9.982099,1,1,1,0.105603065,0.008602741,1,1,1,1.575885261,9.64050956,1,1,1,0.178434333,0.602715302,0.897272247,1,1,1,15.7406877
8,1.043619498,1,1,1,1,1,1,6.56E-05,1,1,1,1,1,1,1,1,1,9.9946297,9.9946297,1,1,1,0.101806451,0.005901396,1,1,1,1.581793332,9.892152868,1,1,1,0.1235303,0.476505009,0.812624862,1,1,1,16.7843072
9,0.384486564,1,1,1,1,1,1,1.97E-05,1,1,1,1,1,1,1,1,1,9.99838891,9.99838891,1,1,1,0.100579548,0.005042492,1,1,1,1.58384405,9.96764586,1,1,1,0.10705909,0.388979645,0.726992854,1,1,1,17.16879377
10,0.136958562,1,1,1,1,1,1,5.90E-06,1,1,1,1,1,1,1,1,1,9.999516673,9.999516673,1,1,1,0.100185144,0.004769174,1,1,1,1.5845427,9.990293758,1,1,1,0.102117727,0.345733091,0.654675485,1,1,1,17.30575233
11,0.047678829,1,1,1,1,1,1,1.77E-06,1,1,1,1,1,1,1,1,1,9.999855002,9.999855002,1,1,1,0.100058927,0.004682183,1,1,1,1.58477732,9.997088127,1,1,1,0.100635318,0.327410978,0.607996152,1,1,1,17.35343116
12,0.025058445,1,1,1,1,1,1,5.31E-07,1,1,1,1,1,1,1,1,1,9.999956501,9.999956501,1,1,1,0.100018693,0.004654499,1,1,1,1.584855213,9.999126438,1,1,1,0.100190595,0.320284785,0.582937707,1,1,1,17.36974876
13,0.011900435,1,1,1,1,1,1,1.59E-07,1,1,1,1,1,1,1,1,1,9.99998695,9.99998695,1,1,1,0.100005912,0.004645693,1,1,1,1.584880834,9.999737931,1,1,1,0.100057179,0.317655722,0.571037272,1,1,1,17.37525959
14,0.005199407,1,1,1,1,1,1,4.78E-08,1,1,1,1,1,1,1,1,1,9.999996085,9.999996085,1,1,1,0.100001865,0.004642892,1,1,1,1.584889195,9.999921379,1,1,1,0.100017154,0.316719429,0.565837865,1,1,1,17.37710095
15,0.002141687,1,1,1,1,1,1,1.43E-08,1,1,1,1,1,1,1,1,1,9.999998826,9.999998826,1,1,1,0.100000587,0.004642003,1,1,1,1.584891906,9.999976414,1,1,1,0.100005146,0.31639425,0.563696178,1,1,1,17.37771082
16,0.000844792,1,1,1,1,1,1,4.30E-09,1,1,1,1,1,1,1,1,1,9.999999648,9.999999648,1,1,1,0.100000184,0.00464172,1,1,1,1.584892781,9.999992924,1,1,1,0.100001544,0.316283407,0.562851386,1,1,1,17.37791134
17,0.000322414,1,1,1,1,1,1,1.29E-09,1,1,1,1,1,1,1,1,1,9.999999894,9.999999894,1,1,1,0.100000058,0.00464163,1,1,1,1.584893061,9.999997877,1,1,1,0.100000463,0.316246167,0.562528973,1,1,1,17.37797685
18,0.000119901,1,1,1,1,1,1,3.87E-10,1,1,1,1,1,1,1,1,1,9.999999968,9.999999968,1,1,1,0.100000018,0.004641602,1,1,1,1.584893151,9.999999363,1,1,1,0.100000139,0.316233799,0.562409072,1,1,1,17.37799814
19,4.37E-05,1,1,1,1,1,1,1.16E-10,1,1,1,1,1,1,1,1,1,9.99999999,9.99999999,1,1,1,0.100000006,0.004641593,1,1,1,1.584893179,9.999999809,1,1,1,0.100000042,0.31622973,0.562365404,1,1,1,17.37800502
20,1.56E-05,1,1,1,1,1,1,3.49E-11,1,1,1,1,1,1,1,1,1,9.999999997,9.999999997,1,1,1,0.100000002,0.00464159,1,1,1,1.584893188,9.999999943,1,1,1,0.100000013,0.316228401,0.562349771,1,1,1,17.37800724
21,5.52E-06,1,1,1,1,1,1,1.05E-11,1,1,1,1,1,1,1,1,1,9.999999999,9.999999999,1,1,1,0.100000001,0.004641589,1,1,1,1.584893191,9.999999983,1,1,1,0.100000004,0.31622797,0.562344254,1,1,1,17.37800795
22,1.92E-06,1,1,1,1,1,1,3.14E-12,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,9.999999995,1,1,1,0.100000001,0.316227832,0.562342331,1,1,1,17.37800818
23,6.63E-07,1,1,1,1,1,1,9.41E-13,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,9.999999998,1,1,1,0.1,0.316227787,0.562341668,1,1,1,17.37800825
24,2.27E-07,1,1,1,1,1,1,2.82E-13,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227773,0.562341441,1,1,1,17.37800828
25,7.69E-08,1,1,1,1,1,1,8.47E-14,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227768,0.562341364,1,1,1,17.37800828
26,2.59E-08,1,1,1,1,1,1,2.54E-14,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227767,0.562341338,1,1,1,17.37800829
27,8.66E-09,1,1,1,1,1,1,7.63E-15,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.56234133,1,1,1,17.37800829
28,2.88E-09,1,1,1,1,1,1,2.29E-15,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341327,1,1,1,17.37800829
29,9.54E-10,1,1,1,1,1,1,6.86E-16,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341326,1,1,1,17.37800829
30,3.14E-10,1,1,1,1,1,1,2.06E-16,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
31,1.03E-10,1,1,1,1,1,1,6.18E-17,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
32,3.37E-11,1,1,1,1,1,1,1.85E-17,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
33,1.10E-11,1,1,1,1,1,1,5.56E-18,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
34,3.57E-12,1,1,1,1,1,1,1.67E-18,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
35,1.15E-12,1,1,1,1,1,1,5.00E-19,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
36,3.72E-13,1,1,1,1,1,1,1.50E-19,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
37,1.20E-13,1,1,1,1,1,1,4.50E-20,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
38,3.85E-14,1,1,1,1,1,1,1.35E-20,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
39,1.24E-14,1,1,1,1,1,1,4.05E-21,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
40,4.00E-15,1,1,1,1,1,1,1.22E-21,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
41,1.11E-15,1,1,1,1,1,1,3.65E-22,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
42,3.33E-16,1,1,1,1,1,1,1.09E-22,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
43,1.11E-16,1,1,1,1,1,1,3.28E-23,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
44,2.30E-23,1,1,1,1,1,1,9.85E-24,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
45,6.89E-24,1,1,1,1,1,1,2.95E-24,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
46,2.07E-24,1,1,1,1,1,1,8.86E-25,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
47,6.20E-25,1,1,1,1,1,1,2.66E-25,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
48,1.86E-25,1,1,1,1,1,1,7.98E-26,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
49,5.58E-26,1,1,1,1,1,1,2.39E-26,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
50,1.68E-26,1,1,1,1,1,1,7.18E-27,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
51,5.03E-27,1,1,1,1,1,1,2.15E-27,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
52,1.51E-27,1,1,1,1,1,1,6.46E-28,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
53,4.52E-28,1,1,1,1,1,1,1.94E-28,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
54,1.36E-28,1,1,1,1,1,1,5.81E-29,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
55,4.07E-29,1,1,1,1,1,1,1.74E-29,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
56,1.22E-29,1,1,1,1,1,1,5.23E-30,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
57,3.66E-30,1,1,1,1,1,1,1.57E-30,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
58,1.10E-30,1,1,1,1,1,1,4.71E-31,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
59,3.30E-31,1,1,1,1,1,1,1.41E-31,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
60,9.89E-32,1,1,1,1,1,1,4.24E-32,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
61,2.97E-32,1,1,1,1,1,1,1.27E-32,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
62,8.90E-33,1,1,1,1,1,1,3.82E-33,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
63,2.67E-33,1,1,1,1,1,1,1.14E-33,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
64,8.01E-34,1,1,1,1,1,1,3.43E-34,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
65,2.40E-34,1,1,1,1,1,1,1.03E-34,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
66,7.21E-35,1,1,1,1,1,1,3.09E-35,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
67,2.16E-35,1,1,1,1,1,1,9.27E-36,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
68,6.49E-36,1,1,1,1,1,1,2.78E-36,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
69,1.95E-36,1,1,1,1,1,1,8.34E-37,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
70,5.84E-37,1,1,1,1,1,1,2.50E-37,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
71,1.75E-37,1,1,1,1,1,1,7.51E-38,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
72,5.26E-38,1,1,1,1,1,1,2.25E-38,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
73,1.58E-38,1,1,1,1,1,1,6.76E-39,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
74,4.73E-39,1,1,1,1,1,1,2.03E-39,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
75,1.42E-39,1,1,1,1,1,1,6.08E-40,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
76,4.26E-40,1,1,1,1,1,1,1.82E-40,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
77,1.28E-40,1,1,1,1,1,1,5.47E-41,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
78,3.83E-41,1,1,1,1,1,1,1.64E-41,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
79,1.15E-41,1,1,1,1,1,1,4.93E-42,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
80,3.45E-42,1,1,1,1,1,1,1.48E-42,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
81,1.03E-42,1,1,1,1,1,1,4.43E-43,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
82,3.10E-43,1,1,1,1,1,1,1.33E-43,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
83,9.31E-44,1,1,1,1,1,1,3.99E-44,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
84,2.79E-44,1,1,1,1,1,1,1.20E-44,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
85,8.38E-45,1,1,1,1,1,1,3.59E-45,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
86,2.51E-45,1,1,1,1,1,1,1.08E-45,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
87,7.54E-46,1,1,1,1,1,1,3.23E-46,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
88,2.26E-46,1,1,1,1,1,1,9.70E-47,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
89,6.79E-47,1,1,1,1,1,1,2.91E-47,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
90,2.04E-47,1,1,1,1,1,1,8.73E-48,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
91,6.11E-48,1,1,1,1,1,1,2.62E-48,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
92,1.83E-48,1,1,1,1,1,1,7.86E-49,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
93,5.50E-49,1,1,1,1,1,1,2.36E-49,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
94,1.65E-49,1,1,1,1,1,1,7.07E-50,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
95,4.95E-50,1,1,1,1,1,1,2.12E-50,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
96,1.48E-50,1,1,1,1,1,1,6.36E-51,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
97,4.45E-51,1,1,1,1,1,1,1.91E-51,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
