iteration,max_abs_delta_t,Decapitation,Low_R_FR,Nitrogen,Photoperiod,Sucrose,miR156,MAX2,ABA2,D27,MAX1,LBO,Auxin,CCD7,CCD8,Strigolactone,D14,SMXL678,BES1,GA,GA2OX,DELLA,SPL9,BRC1,IPT,CKX9,Cytokinin,PIN1,PIN3,FHY3,T6P,FT,HB21,NCED3,ABA,TIE1,ARR1,CAMEL,Shoot_Branching
98,1.34E-51,1,1,1,1,1,1,5.73E-52,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
99,4.01E-52,1,1,1,1,1,1,1.72E-52,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
100,1.20E-52,1,1,1,1,1,1,5.15E-53,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
101,3.61E-53,1,1,1,1,1,1,1.55E-53,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
102,1.08E-53,1,1,1,1,1,1,4.64E-54,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
103,3.25E-54,1,1,1,1,1,1,1.39E-54,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
104,9.74E-55,1,1,1,1,1,1,4.17E-55,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
105,2.92E-55,1,1,1,1,1,1,1.25E-55,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
106,8.77E-56,1,1,1,1,1,1,3.76E-56,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
107,2.63E-56,1,1,1,1,1,1,1.13E-56,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
108,7.89E-57,1,1,1,1,1,1,3.38E-57,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
109,2.37E-57,1,1,1,1,1,1,1.01E-57,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
110,7.10E-58,1,1,1,1,1,1,3.04E-58,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
111,2.13E-58,1,1,1,1,1,1,9.13E-59,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
112,6.39E-59,1,1,1,1,1,1,2.74E-59,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
113,1.92E-59,1,1,1,1,1,1,8.22E-60,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
114,5.75E-60,1,1,1,1,1,1,2.47E-60,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
115,1.73E-60,1,1,1,1,1,1,7.40E-61,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
116,5.18E-61,1,1,1,1,1,1,2.22E-61,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
117,1.55E-61,1,1,1,1,1,1,6.66E-62,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
118,4.66E-62,1,1,1,1,1,1,2.00E-62,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
119,1.40E-62,1,1,1,1,1,1,5.99E-63,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
120,4.19E-63,1,1,1,1,1,1,1.80E-63,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
121,1.26E-63,1,1,1,1,1,1,5.39E-64,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
122,3.77E-64,1,1,1,1,1,1,1.62E-64,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
123,1.13E-64,1,1,1,1,1,1,4.85E-65,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
124,3.40E-65,1,1,1,1,1,1,1.46E-65,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
125,1.02E-65,1,1,1,1,1,1,4.37E-66,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
126,3.06E-66,1,1,1,1,1,1,1.31E-66,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
127,9.17E-67,1,1,1,1,1,1,3.93E-67,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
128,2.75E-67,1,1,1,1,1,1,1.18E-67,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
129,8.25E-68,1,1,1,1,1,1,3.54E-68,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
130,2.48E-68,1,1,1,1,1,1,1.06E-68,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
131,7.43E-69,1,1,1,1,1,1,3.18E-69,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
132,2.23E-69,1,1,1,1,1,1,9.55E-70,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
133,6.69E-70,1,1,1,1,1,1,2.87E-70,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
134,2.01E-70,1,1,1,1,1,1,8.60E-71,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
135,6.02E-71,1,1,1,1,1,1,2.58E-71,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
136,1.80E-71,1,1,1,1,1,1,7.74E-72,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
137,5.41E-72,1,1,1,1,1,1,2.32E-72,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
138,1.62E-72,1,1,1,1,1,1,6.96E-73,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
139,4.87E-73,1,1,1,1,1,1,2.09E-73,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
140,1.46E-73,1,1,1,1,1,1,6.27E-74,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
141,4.39E-74,1,1,1,1,1,1,1.88E-74,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
142,1.32E-74,1,1,1,1,1,1,5.64E-75,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
143,3.95E-75,1,1,1,1,1,1,1.69E-75,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
144,1.18E-75,1,1,1,1,1,1,5.08E-76,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
145,3.55E-76,1,1,1,1,1,1,1.52E-76,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
146,1.07E-76,1,1,1,1,1,1,4.57E-77,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
147,3.20E-77,1,1,1,1,1,1,1.37E-77,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
148,9.59E-78,1,1,1,1,1,1,4.11E-78,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
149,2.88E-78,1,1,1,1,1,1,1.23E-78,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
150,8.63E-79,1,1,1,1,1,1,3.70E-79,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
151,2.59E-79,1,1,1,1,1,1,1.11E-79,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
152,7.77E-80,1,1,1,1,1,1,3.33E-80,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
153,2.33E-80,1,1,1,1,1,1,9.99E-81,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
154,6.99E-81,1,1,1,1,1,1,3.00E-81,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
155,2.10E-81,1,1,1,1,1,1,8.99E-82,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
156,6.29E-82,1,1,1,1,1,1,2.70E-82,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
157,1.89E-82,1,1,1,1,1,1,8.09E-83,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
158,5.66E-83,1,1,1,1,1,1,2.43E-83,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
159,1.70E-83,1,1,1,1,1,1,7.28E-84,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
160,5.10E-84,1,1,1,1,1,1,2.18E-84,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
161,1.53E-84,1,1,1,1,1,1,6.55E-85,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
162,4.59E-85,1,1,1,1,1,1,1.97E-85,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
163,1.38E-85,1,1,1,1,1,1,5.90E-86,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
164,4.13E-86,1,1,1,1,1,1,1.77E-86,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
165,1.24E-86,1,1,1,1,1,1,5.31E-87,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
166,3.72E-87,1,1,1,1,1,1,1.59E-87,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
167,1.11E-87,1,1,1,1,1,1,4.78E-88,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
168,3.34E-88,1,1,1,1,1,1,1.43E-88,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
169,1.00E-88,1,1,1,1,1,1,4.30E-89,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
170,3.01E-89,1,1,1,1,1,1,1.29E-89,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
171,9.03E-90,1,1,1,1,1,1,3.87E-90,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
172,2.71E-90,1,1,1,1,1,1,1.16E-90,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
173,8.13E-91,1,1,1,1,1,1,3.48E-91,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
174,2.44E-91,1,1,1,1,1,1,1.04E-91,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
175,7.31E-92,1,1,1,1,1,1,3.13E-92,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
176,2.19E-92,1,1,1,1,1,1,9.40E-93,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
177,6.58E-93,1,1,1,1,1,1,2.82E-93,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
178,1.97E-93,1,1,1,1,1,1,8.46E-94,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
179,5.92E-94,1,1,1,1,1,1,2.54E-94,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
180,1.78E-94,1,1,1,1,1,1,7.62E-95,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
181,5.33E-95,1,1,1,1,1,1,2.29E-95,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
182,1.60E-95,1,1,1,1,1,1,6.86E-96,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
183,4.80E-96,1,1,1,1,1,1,2.06E-96,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
184,1.44E-96,1,1,1,1,1,1,6.17E-97,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
185,4.32E-97,1,1,1,1,1,1,1.85E-97,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
186,1.30E-97,1,1,1,1,1,1,5.55E-98,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
187,3.89E-98,1,1,1,1,1,1,1.67E-98,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
188,1.17E-98,1,1,1,1,1,1,5.00E-99,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
189,3.50E-99,1,1,1,1,1,1,1.50E-99,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
190,1.05E-99,1,1,1,1,1,1,4.50E-100,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
191,3.15E-100,1,1,1,1,1,1,1.35E-100,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
192,9.45E-101,1,1,1,1,1,1,4.05E-101,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
193,2.83E-101,1,1,1,1,1,1,1.21E-101,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
194,8.50E-102,1,1,1,1,1,1,3.64E-102,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
195,2.55E-102,1,1,1,1,1,1,1.09E-102,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
196,7.65E-103,1,1,1,1,1,1,3.28E-103,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
197,2.30E-103,1,1,1,1,1,1,9.84E-104,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
198,6.89E-104,1,1,1,1,1,1,2.95E-104,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
199,2.07E-104,1,1,1,1,1,1,8.85E-105,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
200,6.20E-105,1,1,1,1,1,1,2.66E-105,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
